Postal Code,Borough,Neighborhood,Latitude,Longitude
L6A,Maple,Maple,   43.85,-79.516
N4K,Owen Sound,Owen Sound,   44.567,-80.943
K4C,Cumberland,Cumberland,   45.498,-75.392
K6V,Brockville,Brockville,   44.657,-75.715
K1Y,Ottawa West,Ottawa West,   45.402,-75.733
L4A,Stouffville,Stouffville,   43.967,-79.25
L3M,Grimsby,Grimsby,   43.2,-79.566
N3W,Caledonia,Caledonia,   43.067,-79.933
K2K,Kanata ,"Beaverbrook , South March",   45.37,-75.92
K2L,Kanata ,"Katimavik-Hazeldean , Glen Cairn",   45.3,-75.924
K2M,Kanata ,Bridlewood,   45.286,-75.856
K2P,Ottawa ,Centre Town,   45.417,-75.69
K2R,Nepean ,"Fallowfield Village , Cedarhill Estates , Orchard Estates",   45.29,-75.813
K2S,Stittsville,Stittsville,   45.25,-75.916
K2T,Kanata ,Marchwood,   45.317,-75.937
K2V,Kanata ,"Terry Fox , Palladium",   45.285,-75.893
K2W,Kanata ,North March,   45.37,-75.989
K4A,Orleans ,Fallingbrook,   45.47,-75.471
K4M,Manotick,Manotick,   45.215,-75.653
K4R,Russell,Russell,   45.239,-75.353
K6H,Cornwall East,Cornwall East,   45.057,-74.685
K6J,Cornwall West,Cornwall West,   45.022,-74.757
K6K,Cornwall North,Cornwall North,   45.061,-74.777
K6T,Elizabethtown,Elizabethtown,   44.63,-75.745
K9H,Peterborough North,Peterborough North,   44.324,-78.318
K9J,Peterborough South,Peterborough South,   44.31,-78.24
K9K,Peterborough ,"Fairbairn Meadows , Jackson Heights",   44.314,-78.361
K9L,Peterborough ,"Terra View Heights , Woodland Acres , Donwood",   44.355,-78.32
L0B,East Durham Regional Municipality ,Orono,   44.077,-78.746
L0C,West Durham Regional Municipality ,Sunderland,   44.209,-79.073
L0E,Lake Simcoe Southeast Shore ,Sutton West,   44.32,-79.278
L0G,Ontario Centre ,Queensville,   44.059,-79.624
L0H,Whitby Region ,Gormley,   43.902,-79.155
L0J,North Peel Regional Municipality ,Kleinburg,   43.857,-79.649
L0K,Lake Simcoe North Shore ,Coldwater,   44.623,-79.123
L0L,Lake Simcoe West Shore ,Oro,   44.455,-79.735
L0M,Georgian Bay South Shore ,Angus,   44.327,-80.033
L0N,Dufferin County ,Shelburne,   44.032,-80.207
L0P,Halton Regional Municipality ,Campbellville,   43.491,-80
L0R,East Haldimand County ,Waterdown,   43.161,-79.746
L0S,Niagara Regional Municipality ,Fonthill,   42.907,-79.083
L0V,Westminster Abbey,Westminster Abbey,   45.469,-75.008
L1A,Port Hope,Port Hope,   44.017,-78.4
L1C,Bowmanville West,Bowmanville West,   43.971,-78.71
L1G,Oshawa Central,Oshawa Central,   43.923,-78.868
L1H,Oshawa Southeast,Oshawa Southeast,   43.972,-78.884
K7K,Kingston ,SW Pittsburgh Township,   44.257,-76.472
K7L,Kingston ,Downtown,   44.295,-76.428
K7M,Kingston ,"Reddendale , Cataraqui , Collins Bay",   44.241,-76.579
K7P,Kingston ,"Westbrook , Cataraqui Woods , Cedarwood",   44.281,-76.611
K8A,Pembroke Central and northern subdivisions,Pembroke Central and northern subdivisions,   45.747,-77.205
K8B,Pembroke ,"Pleasant View , Fairview",   45.808,-77.081
K8N,Belleville East,Belleville East,   44.174,-77.368
K8P,Belleville West,Belleville West,   44.167,-77.404
K8R,Belleville ,"SE Sidney Township , Avondale",   44.14,-77.468
K8V,Trenton,Trenton,   44.099,-77.578
K0B,Prescott and Russell United Counties ,Alfred,   45.503,-74.748
K0C,"Stormont, Dundas and Glengarry United Counties ",Alexandria,   45.169,-74.897
K0E,South Leeds and Grenville United Counties ,Prescott,   44.873,-75.442
K0G,Rideau Lakes area ,Kemptville,   45.047,-76.476
K0H,"Frontenac County, Addington County, Loyalist Shores and Southwest Leeds ",Inverary,   44.721,-76.833
K0J,Renfrew County and Lanark Highlands Township ,Deep River,   45.661,-77.589
K0K,"Quinte Shores, East Northumberland County & Prince Edward County ",Picton,   44.326,-77.432
K0L,Peterborough County and North Hastings County ,Lakefield,   44.777,-77.969
K0M,Kawartha lakes and Haliburton County ,Bobcaygeon,   44.864,-78.655
K1B,Gloucester ,"Blackburn Hamlet , Pine View",   45.428,-75.587
K1C,Gloucester ,West Orleans,   45.468,-75.54
K1E,Orleans ,Queenswood,   45.477,-75.505
K1G,Ottawa ,"Riverview , Hawthorne",   45.355,-75.577
K1H,Ottawa ,Alta Vista,   45.388,-75.659
K1J,Gloucester ,"Beacon Hill , Cyrville",   45.452,-75.604
K1K,Ottawa ,Overbrook,   45.445,-75.643
K1L,Ottawa ,Vanier,   45.44,-75.663
K1M,Ottawa ,"Rockcliffe Park , New Edinburgh",   45.449,-75.682
K1N,Ottawa ,"Lower Town , Sandy Hill , University of Ottawa",   45.429,-75.684
K1P,Ottawa ,Parliament Hill,   45.422,-75.703
K1R,Ottawa ,West Downtown area,   45.412,-75.711
K1S,Ottawa ,"The Glebe , Ottawa South , Ottawa East",   45.399,-75.687
K1T,Gloucester ,"Blossom Park , Hunt Club East , Leitrim",   45.329,-75.616
K1V,Ottawa ,"Riverside Park , Hunt Club West , Riverside South , YOW",   45.328,-75.672
K1W,Gloucester ,South Orleans,   45.436,-75.516
K1X,Gloucester South,Gloucester South,   45.276,-75.628
K1Z,Ottawa ,Westboro,   45.387,-75.74
K2A,Ottawa ,"Highland Park , Carlingwood",   45.38,-75.764
K2B,Ottawa ,"Britannia , Pinecrest",   45.365,-75.793
K2C,Ottawa ,"Queensway , Copeland , Carlington , Carleton Heights",   45.368,-75.738
K2E,Nepean East,Nepean East,   45.344,-75.716
K2G,Nepean ,Davidson Heights,   45.321,-75.739
K2H,Nepean ,Bells Corners,   45.343,-75.826
K2J,Nepean ,Barrhaven,   45.269,-75.752
P2A,Parry Sound,Parry Sound,   45.35,-80.033
P3B,Greater Sudbury ,"Downtown , Minnow Lake",   46.485,-80.93
P3C,Greater Sudbury ,"Gatchell , West End , Little Britain",   46.513,-81.023
P3E,Greater Sudbury ,"Robinson , Lockerby",   46.268,-80.906
P3G,Greater Sudbury ,"Lo-Ellen , McFarlane Lake",   46.403,-80.974
P3L,Greater Sudbury ,Garson,   46.594,-80.85
P3N,Greater Sudbury ,Val Caron,   46.584,-81.003
